t=2026-02-05T20:31:07+0000 lvl=info msg="no configuration paths supplied"
t=2026-02-05T20:31:07+0000 lvl=info msg="using configuration at default config path" path=/home/runner/.config/ngrok/ngrok.yml
t=2026-02-05T20:31:07+0000 lvl=info msg="open config file" path=/home/runner/.config/ngrok/ngrok.yml err=nil
t=2026-02-05T20:31:07+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-05T20:31:07+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-05T20:31:07+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-05T20:31:07+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-05T20:31:08+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://mealless-loralee-unspiritual.ngrok-free.dev
t=2026-02-05T20:31:12+0000 lvl=info msg=start pg=/api/tunnels id=55394ba70f366a1b
t=2026-02-05T20:31:12+0000 lvl=info msg=end pg=/api/tunnels id=55394ba70f366a1b status=200 dur=212.856µs
t=2026-02-05T21:35:16+0000 lvl=info msg="join connections" obj=join id=4e2db43b1684 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:65424
t=2026-02-05T21:46:02+0000 lvl=info msg="join connections" obj=join id=191cc97e225d l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:16542
t=2026-02-05T21:48:06+0000 lvl=info msg="join connections" obj=join id=47a3dd1e34c3 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:48:10+0000 lvl=info msg="join connections" obj=join id=92e1012e5eb8 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:50:36+0000 lvl=info msg="join connections" obj=join id=beabf33a16f8 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:51:36+0000 lvl=info msg="join connections" obj=join id=0db1fdb40133 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:52:36+0000 lvl=info msg="join connections" obj=join id=75ab7d1c4f19 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:53:36+0000 lvl=info msg="join connections" obj=join id=1f336fc5a7a3 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:54:36+0000 lvl=info msg="join connections" obj=join id=5745ebb80c2f l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:55:36+0000 lvl=info msg="join connections" obj=join id=ca466eecdeb4 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:56:36+0000 lvl=info msg="join connections" obj=join id=b95f1fd3a7bd l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:57:36+0000 lvl=info msg="join connections" obj=join id=cdb01b8af945 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:58:36+0000 lvl=info msg="join connections" obj=join id=be630915207f l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T21:59:36+0000 lvl=info msg="join connections" obj=join id=7ea9940f55fd l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T22:00:36+0000 lvl=info msg="join connections" obj=join id=19adc4dee765 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T22:01:36+0000 lvl=info msg="join connections" obj=join id=0bd684cb3e73 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T22:02:36+0000 lvl=info msg="join connections" obj=join id=6ccc3b282a33 l=[::1]:8080 r=[2a09:bac5:30cc:1eb::31:da]:48738
t=2026-02-05T22:02:45+0000 lvl=info msg="join connections" obj=join id=8cf697893cdb l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:03:36+0000 lvl=info msg="join connections" obj=join id=634afce013eb l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:04:36+0000 lvl=info msg="join connections" obj=join id=e6dc0b3c86b9 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:05:36+0000 lvl=info msg="join connections" obj=join id=16aa2e71f211 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:06:36+0000 lvl=info msg="join connections" obj=join id=0806453dcc33 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:07:36+0000 lvl=info msg="join connections" obj=join id=54c484cdbde0 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:08:36+0000 lvl=info msg="join connections" obj=join id=3eb0590c8056 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:09:36+0000 lvl=info msg="join connections" obj=join id=4e58371e19ac l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:10:36+0000 lvl=info msg="join connections" obj=join id=2530fad71f69 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:11:36+0000 lvl=info msg="join connections" obj=join id=09cc6e9a7489 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:12:36+0000 lvl=info msg="join connections" obj=join id=828cee0bbc69 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:13:36+0000 lvl=info msg="join connections" obj=join id=e1b82a873f12 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:14:36+0000 lvl=info msg="join connections" obj=join id=8d191affaf27 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:15:36+0000 lvl=info msg="join connections" obj=join id=c26fca4b38c8 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:16:36+0000 lvl=info msg="join connections" obj=join id=08e926a8ca1f l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:17:36+0000 lvl=info msg="join connections" obj=join id=c3e4f47be187 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:64590
t=2026-02-05T22:18:36+0000 lvl=info msg="join connections" obj=join id=337e39e11a36 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:39706
t=2026-02-05T22:19:36+0000 lvl=info msg="join connections" obj=join id=440e4c08b40c l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:39706
t=2026-02-05T22:20:36+0000 lvl=info msg="join connections" obj=join id=3396e21e0514 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:39706
t=2026-02-05T22:21:36+0000 lvl=info msg="join connections" obj=join id=a8435650708a l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:39706
t=2026-02-05T22:22:36+0000 lvl=info msg="join connections" obj=join id=9bfe0ffe26fe l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:39706
t=2026-02-05T22:23:36+0000 lvl=info msg="join connections" obj=join id=e03761d1d144 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:39706
t=2026-02-05T22:24:36+0000 lvl=info msg="join connections" obj=join id=a5280a198802 l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:39706
t=2026-02-05T22:25:36+0000 lvl=info msg="join connections" obj=join id=5e31138de3ab l=[::1]:8080 r=[2a09:bac1:2260:10::31:da]:39706
